#EEP	M/Mo	LogTeff	LogG	LogL/Lo	U	B	V	R	I	J	H	Ks	Kp	D51
169	1.024644	3.7002	3.7646	0.4379	5.6301	4.8602	3.8992	3.3962	2.9576	2.3070	1.8315	1.7677	3.5626	4.1859
170	1.025377	3.6980	3.7377	0.4565	5.6195	4.8321	3.8623	3.3540	2.9113	2.2533	1.7713	1.7069	3.5215	4.1542
171	1.026060	3.6965	3.7122	0.4758	5.5983	4.7982	3.8215	3.3093	2.8635	2.1998	1.7128	1.6478	3.4776	4.1173
172	1.026706	3.6952	3.6877	0.4955	5.5707	4.7604	3.7784	3.2630	2.8147	2.1464	1.6554	1.5900	3.4319	4.0770
173	1.027328	3.6941	3.6639	0.5155	5.5381	4.7198	3.7334	3.2156	2.7652	2.0931	1.5991	1.5332	3.3849	4.0342
174	1.027931	3.6932	3.6407	0.5356	5.5022	4.6773	3.6871	3.1675	2.7153	2.0401	1.5435	1.4773	3.3371	3.9895
175	1.028520	3.6925	3.6178	0.5558	5.4641	4.6333	3.6400	3.1189	2.6652	1.9873	1.4886	1.4221	3.2887	3.9436
176	1.029099	3.6919	3.5954	0.5759	5.4243	4.5884	3.5922	3.0697	2.6149	1.9347	1.4342	1.3674	3.2399	3.8966
177	1.029671	3.6914	3.5734	0.5961	5.3830	4.5426	3.5441	3.0206	2.5646	1.8824	1.3805	1.3134	3.1908	3.8490
178	1.030237	3.6909	3.5514	0.6164	5.3407	4.4964	3.4958	2.9713	2.5143	1.8302	1.3270	1.2596	3.1417	3.8010
179	1.030797	3.6905	3.5297	0.6366	5.2978	4.4498	3.4473	2.9220	2.4640	1.7783	1.2738	1.2062	3.0924	3.7528
180	1.031354	3.6901	3.5081	0.6567	5.2545	4.4031	3.3987	2.8726	2.4139	1.7264	1.2210	1.1531	3.0432	3.7043
181	1.031900	3.6897	3.4865	0.6769	5.2109	4.3563	3.3500	2.8232	2.3637	1.6746	1.1681	1.0999	2.9940	3.6558
182	1.032252	3.6894	3.4723	0.6901	5.1823	4.3256	3.3180	2.7908	2.3307	1.6406	1.1334	1.0650	2.9616	3.6240
183	1.032604	3.6891	3.4581	0.7035	5.1534	4.2946	3.2857	2.7580	2.2974	1.6063	1.0985	1.0299	2.9290	3.5918
184	1.032957	3.6889	3.4437	0.7170	5.1241	4.2631	3.2531	2.7249	2.2636	1.5716	1.0632	0.9944	2.8958	3.5592
185	1.033309	3.6886	3.4291	0.7308	5.0947	4.2315	3.2201	2.6915	2.2297	1.5366	1.0273	0.9584	2.8625	3.5263
186	1.033661	3.6883	3.4139	0.7448	5.0648	4.1990	3.1862	2.6570	2.1945	1.5003	0.9903	0.9211	2.8281	3.4926
187	1.034009	3.6880	3.3980	0.7597	5.0327	4.1645	3.1504	2.6206	2.1575	1.4621	0.9515	0.8820	2.7918	3.4568
188	1.034354	3.6876	3.3813	0.7753	4.9997	4.1287	3.1129	2.5826	2.1188	1.4221	0.9106	0.8408	2.7539	3.4196
189	1.034694	3.6873	3.3637	0.7917	4.9644	4.0905	3.0732	2.5422	2.0777	1.3798	0.8675	0.7974	2.7136	3.3800
190	1.035027	3.6870	3.3444	0.8095	4.9273	4.0499	3.0306	2.4988	2.0336	1.3340	0.8207	0.7504	2.6703	3.3376
