#NUMBER	OF	AGES=	1	MAGS=	3
#----------------------------------------------------	
#MIX-LEN	Y	Z	Zeff	[Fe/H]	[a/Fe]
#	1.9380	0.2458	4.8807E-04	4.8807E-04	-1.54	0.00	
#----------------------------------------------------	
#**PHOTOMETRIC	SYSTEM**:	Gaia	DR2	Revised	(Vega)
#----------------------------------------------------	
#AGE=12.000	EEPS=267
#EEP	M/Mo	LogTeff	LogG	LogL/Lo	Gaia_G	Gaia_BP	Gaia_RP
214	0.812197	3.7198	2.8060	1.3744	1.2971	1.6628	0.7610
215	0.812308	3.7191	2.7804	1.3970	1.2414	1.6088	0.7037
216	0.812415	3.7183	2.7544	1.4199	1.1853	1.5544	0.6460
217	0.812434	3.7181	2.7495	1.4241	1.1752	1.5448	0.6355
218	0.812453	3.7180	2.7448	1.4283	1.1648	1.5348	0.6249
219	0.812472	3.7179	2.7402	1.4325	1.1544	1.5245	0.6143
220	0.812491	3.7178	2.7354	1.4367	1.1439	1.5143	0.6036
221	0.812510	3.7176	2.7306	1.4410	1.1335	1.5043	0.5928
222	0.812529	3.7175	2.7258	1.4453	1.1231	1.4941	0.5820
223	0.812547	3.7173	2.7209	1.4496	1.1125	1.4839	0.5712
224	0.812566	3.7171	2.7157	1.4539	1.1021	1.4740	0.5603
225	0.812584	3.7169	2.7107	1.4582	1.0916	1.4639	0.5495
226	0.812602	3.7167	2.7057	1.4625	1.0809	1.4536	0.5385
227	0.812794	3.7152	2.6517	1.5104	0.9639	1.3402	0.4183
228	0.812957	3.7137	2.6016	1.5544	0.8562	1.2359	0.3074
229	0.813107	3.7121	2.5509	1.5989	0.7473	1.1307	0.1954
230	0.813248	3.7104	2.4990	1.6445	0.6362	1.0233	0.0810
231	0.813373	3.7088	2.4484	1.6882	0.5302	0.9213	-0.0288
232	0.813490	3.7069	2.3969	1.7324	0.4228	0.8183	-0.1400
233	0.813597	3.7050	2.3452	1.7767	0.3154	0.7155	-0.2512
234	0.813693	3.7032	2.2946	1.8201	0.2107	0.6154	-0.3600
235	0.813782	3.7013	2.2433	1.8637	0.1054	0.5150	-0.4696
236	0.813864	3.6993	2.1907	1.9084	-0.0022	0.4128	-0.5817
237	0.813937	3.6975	2.1424	1.9493	-0.1009	0.3190	-0.6847
238	0.814005	3.6956	2.0958	1.9888	-0.1958	0.2289	-0.7837
239	0.814067	3.6941	2.0532	2.0249	-0.2827	0.1466	-0.8743
240	0.814126	3.6929	2.0203	2.0531	-0.3503	0.0823	-0.9449
241	0.814183	3.6929	2.0184	2.0554	-0.3566	0.0756	-0.9511
242	0.814244	3.6927	2.0046	2.0680	-0.3878	0.0455	-0.9829
243	0.814302	3.6903	1.9503	2.1134	-0.4959	-0.0562	-1.0963
244	0.814355	3.6880	1.8945	2.1596	-0.6058	-0.1594	-1.2119
245	0.814403	3.6857	1.8414	2.2035	-0.7098	-0.2567	-1.3214
246	0.814447	3.6834	1.7904	2.2457	-0.8092	-0.3496	-1.4261
247	0.814485	3.6814	1.7427	2.2849	-0.9018	-0.4359	-1.5237
248	0.814522	3.6791	1.6923	2.3265	-0.9995	-0.5268	-1.6268
249	0.814555	3.6769	1.6420	2.3680	-1.0967	-0.6172	-1.7295
250	0.814586	3.6747	1.5920	2.4090	-1.1928	-0.7063	-1.8310
251	0.814613	3.6725	1.5431	2.4492	-1.2865	-0.7930	-1.9302
252	0.814638	3.6703	1.4955	2.4881	-1.3768	-0.8763	-2.0260
253	0.814661	3.6681	1.4482	2.5263	-1.4648	-0.9568	-2.1197
254	0.814683	3.6658	1.4019	2.5637	-1.5506	-1.0351	-2.2112
255	0.814702	3.6636	1.3565	2.6001	-1.6340	-1.1109	-2.3004
256	0.814719	3.6613	1.3121	2.6357	-1.7148	-1.1840	-2.3871
257	0.814736	3.6591	1.2680	2.6708	-1.7945	-1.2557	-2.4726
258	0.814751	3.6569	1.2249	2.7049	-1.8716	-1.3249	-2.5557
259	0.814765	3.6546	1.1826	2.7384	-1.9468	-1.3920	-2.6366
260	0.814778	3.6525	1.1410	2.7712	-2.0201	-1.4569	-2.7158
261	0.814790	3.6503	1.1001	2.8035	-2.0917	-1.5204	-2.7933
262	0.814802	3.6481	1.0599	2.8350	-2.1612	-1.5816	-2.8687
263	0.814812	3.6460	1.0205	2.8658	-2.2290	-1.6410	-2.9424
264	0.814822	3.6437	0.9812	2.8961	-2.2949	-1.6981	-3.0142
265	0.814831	3.6415	0.9426	2.9258	-2.3589	-1.7534	-3.0845
266	0.814839	3.6393	0.9051	2.9545	-2.4206	-1.8062	-3.1521
267	0.814847	3.6372	0.8681	2.9829	-2.4811	-1.8578	-3.2185
268	0.814854	3.6350	0.8316	3.0108	-2.5404	-1.9083	-3.2838
269	0.814861	3.6329	0.7959	3.0381	-2.5981	-1.9570	-3.3474
270	0.814868	3.6309	0.7610	3.0649	-2.6544	-2.0046	-3.4096
271	0.814875	3.6289	0.7269	3.0911	-2.7094	-2.0507	-3.4702
272	0.814880	3.6270	0.6936	3.1167	-2.7631	-2.0957	-3.5295
273	0.814886	3.6251	0.6609	3.1419	-2.8157	-2.1398	-3.5876
274	0.814891	3.6232	0.6290	3.1664	-2.8671	-2.1828	-3.6442
275	0.814896	3.6214	0.5981	3.1904	-2.9170	-2.2246	-3.6993
276	0.814900	3.6198	0.5676	3.2140	-2.9662	-2.2657	-3.7534
277	0.814905	3.6182	0.5384	3.2367	-3.0136	-2.3051	-3.8056
278	0.814909	3.6166	0.5100	3.2587	-3.0594	-2.3431	-3.8562
279	0.814913	3.6151	0.4840	3.2790	-3.1008	-2.3769	-3.9023
